week_start,store_name,product_name,category,units_sold,expected_units,deviation_units,anomaly_type,z_score,if_score
2026-04-13,Pune East,Coca-Cola 2L,Beverages,125,811.0,-686.0,Z-Score,-4.891793282481036,0.09391923702882221
2026-04-13,Bengaluru South,Tata Tea Premium 500g,Beverages,87,483.75,-396.8,Z-Score,-4.6994768289872075,0.1053811712602657
2026-04-13,Mumbai Central,Whole Milk 1L,Dairy,128,805.0,-677.0,Z-Score,-4.584048286042542,0.08353615846562046
2026-04-13,Chennai West,Tata Tea Premium 500g,Beverages,137,477.25,-340.2,Z-Score,-4.253563864255604,0.12190712782577362
2026-04-13,Mumbai Central,Tata Tea Premium 500g,Beverages,135,510.0,-375.0,Z-Score,-4.252160705964014,0.13698574811050002
2026-04-13,Mumbai Central,Coca-Cola 2L,Beverages,236,800.0,-564.0,Z-Score,-4.131457374305289,0.1083594750525938
2025-11-10,Delhi North,Dettol Hand Wash 500ml,Personal Care,932,746.25,185.8,Z-Score,4.110652707071451,0.14875320383248658
2026-04-13,Bengaluru South,Sunflower Oil 1L,Staples,89,674.25,-585.2,Z-Score,-4.061080189704694,0.1166606406045475
2026-04-13,Bengaluru South,Whole Milk 1L,Dairy,208,850.25,-642.2,Z-Score,-4.04768009347932,0.09199612709445615
2026-04-13,Delhi North,Maggi Noodles 12-Pack,Ready Meals,243,991.75,-748.8,Z-Score,-4.040766903811807,0.08569693556469149
2026-04-13,Pune East,Tata Tea Premium 500g,Beverages,142,459.0,-317.0,Z-Score,-4.034236028777822,0.09829957829369507
2025-11-10,Bengaluru South,Kurkure Snacks 200g,Snacks,2230,1750.0,480.0,HIGH CONFIDENCE,4.014716570104839,-0.005554023309490064
2026-04-13,Delhi North,Amul Butter 500g,Dairy,85,296.0,-211.0,Z-Score,-4.006837638046901,0.08934700583519473
2026-04-13,Mumbai Central,Amul Butter 500g,Dairy,81,263.75,-182.8,Z-Score,-4.006319367350943,0.07701143343541128
2026-04-13,Chennai West,Dove Soap 3-Pack,Personal Care,51,385.0,-334.0,Z-Score,-3.9928606176611354,0.13363039311545738
2026-04-13,Delhi North,Rin Detergent 1Kg,Household,73,605.75,-532.8,Z-Score,-3.9722463584884884,0.10922646038212902
2026-04-13,Bengaluru South,Dettol Hand Wash 500ml,Personal Care,68,567.75,-499.8,Z-Score,-3.9334377721453913,0.13083147575990645
2026-04-13,Chennai West,Amul Butter 500g,Dairy,74,323.25,-249.2,Z-Score,-3.9162498254354836,0.12346353474639093
2026-04-13,Chennai West,Whole Milk 1L,Dairy,253,830.0,-577.0,Z-Score,-3.8972977367312027,0.12090656907097536
2026-04-13,Delhi North,Tata Tea Premium 500g,Beverages,147,455.25,-308.2,Z-Score,-3.8967520526437154,0.13377477086707545
2026-04-13,Chennai West,Maggi Noodles 12-Pack,Ready Meals,247,921.5,-674.5,Z-Score,-3.884384875877625,0.08603706598522087
2026-04-13,Bengaluru South,Dove Soap 3-Pack,Personal Care,54,374.25,-320.2,Z-Score,-3.8816281774288357,0.13332789545415813
