week_start,store_id,store_name,product_id,product_name,category,baseline_units,promo_units,uplift_pct,incremental_units,incremental_revenue
2022-01-31,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,780.0,656,-15.9,-124.0,-6739.75
2022-02-28,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,617.0,671,8.75,54.0,2910.6
2022-03-07,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,617.0,625,1.3,8.0,434.13
2022-03-21,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,567.5,631,11.19,63.5,3463.92
2022-03-28,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,567.5,637,12.25,69.5,3728.97
2022-04-04,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,567.5,673,18.59,105.5,5662.79
2022-04-11,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,567.5,752,32.51,184.5,9985.4
2022-05-09,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,649.8,730,12.35,80.2,4328.91
2022-05-16,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,649.8,529,-18.58,-120.8,-6578.98
2022-05-23,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,649.8,704,8.35,54.2,2929.19
2022-05-30,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,649.8,803,23.59,153.2,8360.01
2022-06-06,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,649.8,745,14.66,95.2,4907.42
2022-06-20,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,693.5,641,-7.57,-52.5,-2811.22
2022-07-04,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,711.8,754,5.94,42.2,2261.64
2022-07-18,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,728.5,693,-4.87,-35.5,-1927.35
2022-08-01,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,747.8,864,15.55,116.2,6278.99
2022-08-29,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,749.5,724,-3.4,-25.5,-1368.69
2022-09-05,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,749.5,711,-5.14,-38.5,-2057.66
2022-09-12,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,749.5,682,-9.01,-67.5,-3644.52
2022-10-03,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,714.0,945,32.35,231.0,12380.94
2022-10-24,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,759.8,996,31.1,236.2,12752.44
2022-11-07,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,830.5,1017,22.46,186.5,9824.29
2022-11-28,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,802.5,989,23.24,186.5,10078.19
2022-12-05,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,802.5,854,6.42,51.5,2787.99
2022-12-12,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,802.5,874,8.91,71.5,3762.33
2022-12-19,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,802.5,963,20.0,160.5,8634.44
2022-12-26,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,802.5,613,-23.61,-189.5,-10167.76
2023-01-09,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,802.8,576,-28.25,-226.8,-12127.56
2023-01-16,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,802.8,817,1.78,14.2,769.36
2023-01-23,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,802.8,823,2.52,20.2,1081.99
2023-02-06,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,775.0,728,-6.06,-47.0,-2480.39
2023-02-13,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,775.0,693,-10.58,-82.0,-4468.53
2023-02-20,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,775.0,686,-11.48,-89.0,-4762.01
2023-03-13,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,727.8,514,-29.37,-213.8,-11579.75
2023-03-20,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,727.8,680,-6.56,-47.8,-2588.12
2023-04-10,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,698.0,652,-6.59,-46.0,-2483.01
2023-04-17,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,698.0,839,20.2,141.0,7634.14
